,Model,Accuracy Score,F1 Score,ROC AUC Score,Precision,Recall
0,Logistic Regression,0.8914285714285715,0.5197278911564626,0.9309764309764309,0.6904761904761905,0.4880952380952381
1,Support Vector Machine,0.9485714285714285,0.7931972789115648,0.9005531505531504,0.869047619047619,0.7738095238095237
2,XGBoost,0.9428571428571428,0.7692022263450834,0.9339897115871143,0.869047619047619,0.7482993197278912
3,Random Forest,0.9257142857142856,0.6998144712430427,0.917120225453559,0.8095238095238094,0.6738095238095239
4,Multi-Layer Perceptron,0.9428571428571428,0.7917748917748917,0.9618085618085619,0.8476190476190476,0.7761904761904762
